Employee ID,StartDate,StartYear,ExitDate,Title,BusinessUnit,DepartmentType,Division,EmployeeStatus,IsTerminated,TerminationType,TerminationReason,Regrettable,EmployeeType,EmployeeClassificationType,PayZone,Age,AgeBand,TenureYears,TenureBand,State,Performance Score,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,PhotoFile
3427,2019-09-20,2019,2022-12-19 22:52:36.457323516,Production Technician I,CCDR,Production,Finance & Accounting,Terminated,1,Voluntary,Work-life balance,Regrettable,Contract,Temporary,Zone C,41,35-44,3.95,3-4 yrs,MA,Exceeds,3,3,1,1,Leadership Development,Internal,Completed,2,1178.85,face_08.jpg
3428,2023-02-11,2023,,Production Technician I,EW,Production,Aerial,Active,0,,,,Contract,Part-Time,Zone A,27,25-34,0.55,<1 yr,MA,Fully Meets,3,1,2,2,Customer Service,External,Incomplete,4,658.73,face_09.jpg
3429,2018-12-10,2018,,Area Sales Manager,PL,Sales,General - Sga,Active,0,,,,Full-Time,Part-Time,Zone B,45,45-54,4.73,4+ yrs,MA,Exceeds,4,3,5,4,Leadership Development,External,Incomplete,2,2115.47,face_10.jpg
3430,2021-06-21,2021,,Area Sales Manager,CCDR,Sales,Finance & Accounting,Active,0,,,,Contract,Full-Time,Zone A,45,45-54,2.2,2-3 yrs,ND,Exceeds,4,5,5,4,Project Management,External,Passed,3,1331.29,face_11.jpg
3431,2019-06-29,2019,,Area Sales Manager,TNS,Sales,General - Con,Active,0,,,,Contract,Temporary,Zone A,22,<25,4.18,4+ yrs,FL,Fully Meets,3,5,5,3,Technical Skills,External,Passed,5,1936.96,face_12.jpg
3432,2020-01-17,2020,,Area Sales Manager,BPC,Sales,Field Operations,Active,0,,,,Contract,Full-Time,Zone B,27,25-34,3.62,3-4 yrs,CT,Fully Meets,3,5,4,2,Project Management,Internal,Incomplete,2,1231.0,face_13.jpg
3433,2022-04-06,2022,,Area Sales Manager,WBL,Sales,General - Eng,Active,0,,,,Full-Time,Temporary,Zone B,38,35-44,1.4,1-2 yrs,CA,Fully Meets,5,5,4,5,Customer Service,External,Passed,5,709.56,face_14.jpg
3434,2020-11-06,2020,,Area Sales Manager,CCDR,Sales,Engineers,Active,0,,,,Contract,Full-Time,Zone C,35,35-44,2.82,2-3 yrs,OR,Exceeds,5,4,4,4,Leadership Development,Internal,Passed,3,1014.96,face_15.jpg
3435,2018-08-18,2018,,Area Sales Manager,NEL,Sales,Executive,Active,0,,,,Contract,Part-Time,Zone B,39,35-44,5.04,4+ yrs,TX,Fully Meets,4,3,5,5,Customer Service,Internal,Incomplete,3,473.44,face_16.jpg
3436,2022-01-21,2022,,Area Sales Manager,BPC,Sales,Engineers,Active,0,,,,Part-Time,Temporary,Zone B,30,25-34,1.61,1-2 yrs,TX,Fully Meets,2,1,4,2,Leadership Development,Internal,Incomplete,5,1385.81,face_17.jpg
