Employee ID,StartDate,StartYear,ExitDate,Title,BusinessUnit,DepartmentType,Division,EmployeeStatus,IsTerminated,TerminationType,TerminationReason,Regrettable,EmployeeType,EmployeeClassificationType,PayZone,Age,AgeBand,TenureYears,TenureBand,State,Performance Score,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,PhotoFile
3427,9/20/2019,2019,52:36.5,Production Technician I,CCDR,Production,Finance & Accounting,Terminated,1,Voluntary,Work-life balance,Regrettable,Contract,Temporary,Zone C,41,35-44,3.95,3-4 yrs,MA,Exceeds,3,3,1,1,Leadership Development,Internal,Completed,2,1178.85,face_28.jpg
3428,2/11/2023,2023,,Production Technician I,EW,Production,Aerial,Active,0,,,,Contract,Part-Time,Zone A,27,25-34,0.55,<1 yr,MA,Fully Meets,3,1,2,2,Customer Service,External,Incomplete,4,658.73,face_29.jpg
3429,12/10/2018,2018,,Area Sales Manager,PL,Sales,General - Sga,Active,0,,,,Full-Time,Part-Time,Zone B,45,45-54,4.73,4+ yrs,MA,Exceeds,4,3,5,4,Leadership Development,External,Incomplete,2,2115.47,face_30.jpg
3430,6/21/2021,2021,,Area Sales Manager,CCDR,Sales,Finance & Accounting,Active,0,,,,Contract,Full-Time,Zone A,45,45-54,2.2,2-3 yrs,ND,Exceeds,4,5,5,4,Project Management,External,Passed,3,1331.29,face_31.jpg
3431,6/29/2019,2019,,Area Sales Manager,TNS,Sales,General - Con,Active,0,,,,Contract,Temporary,Zone A,22,<25,4.18,4+ yrs,FL,Fully Meets,3,5,5,3,Technical Skills,External,Passed,5,1936.96,face_32.jpg
3432,1/17/2020,2020,,Area Sales Manager,BPC,Sales,Field Operations,Active,0,,,,Contract,Full-Time,Zone B,27,25-34,3.62,3-4 yrs,CT,Fully Meets,3,5,4,2,Project Management,Internal,Incomplete,2,1231,face_33.jpg
3433,4/6/2022,2022,,Area Sales Manager,WBL,Sales,General - Eng,Active,0,,,,Full-Time,Temporary,Zone B,38,35-44,1.4,1-2 yrs,CA,Fully Meets,5,5,4,5,Customer Service,External,Passed,5,709.56,face_34.jpg
3434,11/6/2020,2020,,Area Sales Manager,CCDR,Sales,Engineers,Active,0,,,,Contract,Full-Time,Zone C,35,35-44,2.82,2-3 yrs,OR,Exceeds,5,4,4,4,Leadership Development,Internal,Passed,3,1014.96,face_35.jpg
3435,8/18/2018,2018,,Area Sales Manager,NEL,Sales,Executive,Active,0,,,,Contract,Part-Time,Zone B,39,35-44,5.04,4+ yrs,TX,Fully Meets,4,3,5,5,Customer Service,Internal,Incomplete,3,473.44,face_36.jpg
3436,1/21/2022,2022,,Area Sales Manager,BPC,Sales,Engineers,Active,0,,,,Part-Time,Temporary,Zone B,30,25-34,1.61,1-2 yrs,TX,Fully Meets,2,1,4,2,Leadership Development,Internal,Incomplete,5,1385.81,face_37.jpg
3437,8/4/2023,2023,,Area Sales Manager,SVG,Sales,Field Operations,Active,0,,,,Contract,Temporary,Zone B,44,35-44,0.08,<1 yr,IN,Exceeds,3,4,4,5,Technical Skills,Internal,Completed,1,1360.71,face_38.jpg
3438,8/10/2018,2018,,Area Sales Manager,MSC,Sales,General - Con,Active,0,,,,Full-Time,Temporary,Zone C,46,45-54,5.06,4+ yrs,GA,Fully Meets,4,5,3,2,Technical Skills,Internal,Passed,2,869.35,face_39.jpg
3439,5/25/2022,2022,,Area Sales Manager,EW,Sales,Splicing,Active,0,,,,Full-Time,Temporary,Zone A,37,35-44,1.27,1-2 yrs,CO,Fully Meets,4,4,5,3,Technical Skills,External,Failed,1,1484.15,face_40.jpg
3440,12/5/2019,2019,,Area Sales Manager,CCDR,Sales,Finance & Accounting,Active,0,,,,Contract,Full-Time,Zone A,48,45-54,3.74,3-4 yrs,KY,Fully Meets,3,3,3,2,Communication Skills,External,Incomplete,1,503.29,face_41.jpg
